"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Hysterothylacium aduncum","nematode",2,3,2.5,3,"no","adult","def","yes",39.2583333333333,0.525,8.34513921118442,"3rd","complete"
"Hysterothylacium analarum","nematode",1,3,2,0,NA,"free larva",NA,"yes",0.2195,NA,NA,"propagule","incomplete"
"Hysterothylacium analarum","nematode",1,3,2,1,"paratenic","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Hysterothylacium analarum","nematode",1,3,2,2,"no","adult","def","yes",22.685,NA,NA,"2nd","incomplete"
"Hysterothylacium bidentatum","nematode",2,2,2,0,NA,"free larva",NA,"no",0.275,NA,NA,"propagule","incomplete"
"Hysterothylacium bidentatum","nematode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Hysterothylacium bidentatum","nematode",2,2,2,2,"no","adult","def","no",22.5,1.22,26.3021990940171,"2nd","incomplete"
"Hysterothylacium haze","nematode",1,2,1.5,0,NA,"embryo",NA,"yes",0.399,0.0195,0.00011916041300112,"propagule","incomplete"
"Hysterothylacium haze","nematode",1,2,1.5,1,"paratenic","1larv","int","yes",0.44,NA,NA,"1st","incomplete"
"Hysterothylacium haze","nematode",1,2,1.5,2,"no","adult","def","yes",26.1,0.5195,5.53224611513707,"2nd","incomplete"
"Hystrichis tricolor","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Hystrichis tricolor","nematode",2,2,2,1,"no","1larv","int","no",30,NA,NA,"1st","incomplete"
"Hystrichis tricolor","nematode",2,2,2,2,"no","adult","def","no",73,0.425,4.75239519933275,"2nd","incomplete"
"Ibirhynchus dimorpha","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.07,0.0255,0.000934623814442963,"propagule","incomplete"
"Ibirhynchus dimorpha","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Ibirhynchus dimorpha","acanthocephalan",2,2,2,2,"no","adult","def","no",11,1.85,29.5682773565054,"2nd","incomplete"
"Joyeuxiella echinorhynchoides","cestode",3,3,3,0,NA,"embryo",NA,"no",0.0375,0.0375,0.000739583270532597,"propagule","incomplete"
"Joyeuxiella echinorhynchoides","cestode",3,3,3,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Joyeuxiella echinorhynchoides","cestode",3,3,3,2,"no","2larv","int","no",0.993,0.663,0.342820028489448,"2nd","incomplete"
"Joyeuxiella echinorhynchoides","cestode",3,3,3,3,"no","adult","def","no",92,2,243.5,"3rd","incomplete"
"Joyeuxiella pasqualei","cestode",3,3,3,0,NA,"embryo",NA,"no",0.036,0.034,0.000608509043707823,"propagule","incomplete"
"Joyeuxiella pasqualei","cestode",3,3,3,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Joyeuxiella pasqualei","cestode",3,3,3,2,"no","2larv","int","no",NA,NA,NA,"2nd","incomplete"
"Joyeuxiella pasqualei","cestode",3,3,3,3,"no","adult","def","no",231.375,1.58333333333333,390.991666666667,"3rd","incomplete"
"Joyeuxilepis acanthorhyncha","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Joyeuxilepis acanthorhyncha","cestode",2,2,2,1,"no","1larv","int","no",0.4245,0.2555,0.0570327348326569,"1st","incomplete"
"Joyeuxilepis acanthorhyncha","cestode",2,2,2,2,"no","adult","def","no",6.33333333333333,1.059,5.6186,"2nd","incomplete"
"Joyeuxilepis decacantha","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Joyeuxilepis decacantha","cestode",2,2,2,1,"no","1larv","int","no",0.397,0.234,0.0486412790555308,"1st","incomplete"
"Joyeuxilepis decacantha","cestode",2,2,2,2,"no","adult","def","no",2.2,0.63,1.44425,"2nd","incomplete"
"Joyeuxilepis octacantha","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Joyeuxilepis octacantha","cestode",2,2,2,1,"no","1larv","int","no",0.401,0.246,0.0516509248176698,"1st","incomplete"
"Joyeuxilepis octacantha","cestode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","incomplete"
"Khawia armeniaca","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Khawia armeniaca","cestode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Khawia armeniaca","cestode",2,2,2,2,"no","adult","def","no",31,2.14,111.501092301944,"2nd","incomplete"
"Khawia baltica","cestode",2,2,2,0,NA,"embryo",NA,"no",0.05,0.024,0.000628318530717959,"propagule","complete"
"Khawia baltica","cestode",2,2,2,1,"no","1larv","int","no",3.05,0.32,0.245295554392291,"1st","complete"
"Khawia baltica","cestode",2,2,2,2,"no","adult","def","no",39,1.75,93.8059931407827,"2nd","complete"
"Khawia japonensis","cestode",2,2,2,0,NA,"embryo",NA,"no",0.0475,0.024,0.000596902604182061,"propagule","complete"
"Khawia japonensis","cestode",2,2,2,1,"no","1larv","int","no",1.37,0.455,0.257884701553389,"1st","complete"
"Khawia japonensis","cestode",2,2,2,2,"no","adult","def","no",25.8333333333333,1.825,79.6853522859835,"2nd","complete"
"Khawia parva","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Khawia parva","cestode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Khawia parva","cestode",2,2,2,2,"no","adult","def","no",39.375,2.2075,148.163655283923,"2nd","incomplete"
"Khawia sinensis","cestode",2,2,2,0,NA,"embryo",NA,"no",0.0325,0.0175,0.000297796803621533,"propagule","complete"
