Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Aploparaksis demshini,cestode,2,2,2,2,no,adult,def,no,108,0.73,78.84,2nd,no,no,no,no,complete
Aploparaksis filum,cestode,2,2,2,0,NA,embryo,NA,no,0.0304,0.0248,0.000394752,propagule,yes,no,no,no,complete
Aploparaksis filum,cestode,2,2,2,1,no,1larv,int,no,0.1615,0.1345,0.011373482,1st,no,yes,no,no,complete
Aploparaksis filum,cestode,2,2,2,2,no,adult,def,no,75.125,1.00125,74.200625,2nd,no,no,no,no,complete
Aploparaksis furcigera,cestode,2,2,2,0,NA,embryo,NA,no,0.0325,0.031333333,0.00054847,propagule,yes,no,no,no,complete
Aploparaksis furcigera,cestode,2,2,2,1,no,1larv,int,no,0.55,0.5,0.143989663,1st,no,yes,no,no,complete
Aploparaksis furcigera,cestode,2,2,2,2,no,adult,def,no,34.22857143,0.937142857,32.68071429,2nd,no,no,no,no,complete
Aploparaksis kornyushini,cestode,2,2,2,0,NA,embryo,NA,no,0.026,0.026,0.000353953,propagule,yes,no,no,no,complete
Aploparaksis kornyushini,cestode,2,2,2,1,no,1larv,int,no,0.238,0.1535,0.019128634,1st,no,yes,no,no,complete
Aploparaksis kornyushini,cestode,2,2,2,2,no,adult,def,no,67,0.63,42.21,2nd,no,no,no,no,complete
Aploparaksis orientalis,cestode,2,2,2,0,NA,embryo,NA,no,0.028,0.026,0.00038118,propagule,yes,no,no,no,complete
Aploparaksis orientalis,cestode,2,2,2,1,no,1larv,int,no,0.395,0.34,0.070319316,1st,no,yes,no,no,complete
Aploparaksis orientalis,cestode,2,2,2,2,no,adult,def,no,74.5,0.7,52.15,2nd,no,no,no,no,complete
Aploparaksis penetrans,cestode,2,2,2,0,NA,embryo,NA,no,0.0325,0.0295,0.000502,propagule,yes,no,no,no,complete
Aploparaksis penetrans,cestode,2,2,2,1,no,1larv,int,no,0.565,0.41,0.121291656,1st,no,yes,no,no,complete
Aploparaksis penetrans,cestode,2,2,2,2,no,adult,def,no,97.5,2.6,253.5,2nd,no,no,no,no,complete
Aploparaksis pseudofilum,cestode,2,2,2,0,NA,embryo,NA,no,0.02675,0.02825,0.000395677,propagule,yes,no,no,no,complete
Aploparaksis pseudofilum,cestode,2,2,2,1,no,1larv,int,no,0.176,0.143,0.013177934,1st,no,yes,no,no,complete
Aploparaksis pseudofilum,cestode,2,2,2,2,no,adult,def,no,100.3333333,1.061666667,105.1275,2nd,no,no,no,no,complete
Aploparaksis rissae,cestode,2,2,2,0,NA,embryo,NA,no,0.035,0.0315,0.000577268,propagule,yes,no,no,no,complete
Aploparaksis rissae,cestode,2,2,2,1,no,1larv,int,no,0.1475,0.1275,0.009846929,1st,no,yes,no,no,complete
Aploparaksis rissae,cestode,2,2,2,2,no,adult,def,no,53.5,0.7225,42.7575,2nd,no,no,no,no,complete
Aploparaksis sinensis,cestode,2,2,2,0,NA,embryo,NA,no,0.033,0.033,0.000570199,propagule,yes,no,no,no,complete
Aploparaksis sinensis,cestode,2,2,2,1,no,1larv,int,no,0.4,0.29,0.060737458,1st,no,yes,no,no,complete
Aploparaksis sinensis,cestode,2,2,2,2,no,adult,def,no,95.5,1,95.5,2nd,no,no,no,no,complete
Aporhynchus norvegicus,cestode,3,3,3,0,NA,free larva,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Aporhynchus norvegicus,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Aporhynchus norvegicus,cestode,3,3,3,2,no,2larv,int,no,NA,NA,NA,2nd,no,yes,no,no,incomplete
Aporhynchus norvegicus,cestode,3,3,3,3,no,adult,def,no,28.33333333,0.88,13.2,3rd,no,no,no,no,incomplete
Aprostatandrya cricetuli,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Aprostatandrya cricetuli,cestode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,all missing
Aprostatandrya cricetuli,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,all missing
Archigetes iowensis,cestode,1,2,1.5,0,NA,embryo,NA,yes,0.035,0.015,0.000274889,propagule,yes,no,no,no,complete
Archigetes iowensis,cestode,1,2,1.5,1,no,1larv,int,yes,1.305,0.466206897,0.257544463,1st,no,yes,yes,no,complete
Archigetes iowensis,cestode,1,2,1.5,2,progenetic,adult,def,yes,1.61,0.5,0.316122761,2nd,no,no,no,no,complete
Archigetes limnodrili,cestode,1,2,1.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Archigetes limnodrili,cestode,1,2,1.5,1,no,1larv,int,yes,1.4,0.363970588,0.145663418,1st,no,yes,yes,no,incomplete
Archigetes limnodrili,cestode,1,2,1.5,2,progenetic,adult,def,yes,NA,NA,NA,2nd,no,no,no,no,incomplete
Archigetes sieboldi,cestode,1,2,1.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Archigetes sieboldi,cestode,1,2,1.5,1,no,1larv,int,yes,2.375,0.7,0.57726765,1st,no,yes,yes,no,incomplete
Archigetes sieboldi,cestode,1,2,1.5,2,progenetic,adult,def,yes,3.4475,1.0595,3.256479544,2nd,no,no,no,no,incomplete
